"timecreated","eqmt","liters","liters_prev"
2021-03-20 08:45:00.000 +0500,"25",1589.000,1600.300
2021-03-20 08:50:00.000 +0500,"25",1583.100,1589.000
2021-03-20 08:55:00.000 +0500,"25",1582.500,1583.100
2021-03-20 09:00:00.000 +0500,"25",1568.200,1582.500
2021-03-20 09:05:00.000 +0500,"25",1542.800,1568.200
2021-03-20 09:10:00.000 +0500,"25",1536.500,1542.800
2021-03-20 09:15:00.000 +0500,"25",1531.600,1536.500
2021-03-20 09:20:00.000 +0500,"25",1532.400,1531.600
2021-03-20 09:25:00.000 +0500,"25",1510.091,1532.400
2021-03-20 09:30:00.000 +0500,"25",1487.600,1510.091
2021-03-20 09:35:00.000 +0500,"25",1480.700,1487.600
2021-03-20 09:40:00.000 +0500,"25",1480.100,1480.700
2021-03-20 09:45:00.000 +0500,"25",1466.100,1480.100
2021-03-20 09:50:00.000 +0500,"25",1440.200,1466.100
2021-03-20 09:55:00.000 +0500,"25",1430.600,1440.200
2021-03-20 10:00:00.000 +0500,"25",1427.400,1430.600
2021-03-20 10:05:00.000 +0500,"25",1425.800,1427.400
2021-03-20 10:10:00.000 +0500,"25",1405.800,1425.800
2021-03-20 10:15:00.000 +0500,"25",1382.600,1405.800
2021-03-20 10:20:00.000 +0500,"25",1377.100,1382.600
2021-03-20 10:25:00.000 +0500,"25",1373.800,1377.100
2021-03-20 10:30:00.000 +0500,"25",1372.000,1373.800
2021-03-20 10:35:00.000 +0500,"25",1370.200,1372.000
2021-03-20 10:40:00.000 +0500,"25",1368.400,1370.200
2021-03-20 10:45:00.000 +0500,"25",1366.600,1368.400
2021-03-20 10:50:00.000 +0500,"25",1363.900,1366.600
2021-03-20 10:55:00.000 +0500,"25",1360.000,1363.900
2021-03-20 11:00:00.000 +0500,"25",1357.400,1360.000
2021-03-20 11:05:00.000 +0500,"25",1357.000,1357.400
2021-03-20 11:10:00.000 +0500,"25",1358.700,1357.000
2021-03-20 11:15:00.000 +0500,"25",1357.000,1358.700
2021-03-20 11:20:00.000 +0500,"25",1335.000,1357.000
2021-03-20 11:25:00.000 +0500,"25",1310.000,1335.000
2021-03-20 11:30:00.000 +0500,"25",1302.900,1310.000
2021-03-20 11:35:00.000 +0500,"25",1302.000,1302.900
2021-03-20 11:40:00.000 +0500,"25",1300.100,1302.000
2021-03-20 11:45:00.000 +0500,"25",1300.000,1300.100
2021-03-20 11:50:00.000 +0500,"25",1288.700,1300.000
2021-03-20 11:55:00.000 +0500,"25",1263.000,1288.700
2021-03-20 12:00:00.000 +0500,"25",1252.800,1263.000
2021-03-20 12:05:00.000 +0500,"25",1251.500,1252.800
2021-03-20 12:10:00.000 +0500,"25",1248.400,1251.500
2021-03-20 12:15:00.000 +0500,"25",1246.500,1248.400
2021-03-20 12:20:00.000 +0500,"25",1221.875,1246.500
2021-03-20 12:25:00.000 +0500,"25",1203.100,1221.875
2021-03-20 12:30:00.000 +0500,"25",1195.400,1203.100
2021-03-20 12:35:00.000 +0500,"25",1198.800,1195.400
2021-03-20 12:40:00.000 +0500,"25",1176.750,1198.800
2021-03-20 12:45:00.000 +0500,"25",1158.800,1176.750
2021-03-20 12:50:00.000 +0500,"25",1148.500,1158.800
2021-03-20 12:55:00.000 +0500,"25",1147.700,1148.500
2021-03-20 13:00:00.000 +0500,"25",1135.500,1147.700
